,artist,listeners,playcount,bio_content
0,manuel turizo,425590,7636334,"Manuel Turizo Zapata (born April 12, 2000), better known as Manuel Turizo, is a Colombian reggaeton singer and songwriter. Born and raised in Montería, Córdoba, he began making music at the age of thirteen with the influence of his older brother, Julián Turizo. When he was sixteen he independently recorded and  three singles: ""Baila Conmigo"", ""Vámonos"" and ""Una Lady Como Tú"", the latter gained wide popularity in 2017, and shortly after he signed under the label La Industria Inc. ""Una Lady Como Tú"" became one of the most listened songs of 2017 in Spanish-speaking countries and made him gain a lot of popularity. As of July 2021, the music video for ""Una Lady Como Tú"" has recieved more than 1.4 billion views on YouTube and the song was streamed more than 495 million times on Spotify.

In October, 2017, he was featured in Piso 21 's song ""Déjala Que Vuelva"", which has gained more than 1.6 billion views on YouTube and more than 560 streams on Spotify. In December of the same year he released his second single ""Esperándote"", which accumulates more than 750 million views on YouTube. In 2018, he released various singles such as: ""Culpables"", ""Sola"", ""Una Vez Más"" with Noriel and ""Vaina Loca"" with Ozuna, the latter became his first Billboard Hot 100-charting hit, peaking at number 94 and staying on the chart for two weeks; while  his song ""Sola"" became his first number one song on the Billboard Latin Airplay chart in March 2019.  In August 2019, he released his first studio album ""ADN""  which featured songs with Zion & Lennox, Noriel, Ozuna, Darell, Nicky Jam, Sech, and Anuel AA. ADN peaked at number eight on the Billboard Hot Latin Albums chart.

In spring 2020  he released his single ""Quiéreme Mientras Se Pueda"" - Love Me While As You Can, during the COVID-19 pandemic. Later that year he released ""La Nota"" with Rauw Alejandro and Myke Towers, and in April 2021 he released his sophomore album ""Dopamina"".

From a very young age, Manuel and his brother, Julián, were surrounded by music, playing any instrument that was passed through in the search of perfecting art. Thus, while Julian chose the guitar, Manuel focused on singing and began taking vocal technique classes in Montería with a Cuban teacher. For him, compositions with universal lyrics that seek to reach the soul, are the formula of success and longs for its fans to continue with the support they have shown so far.

Manuel Turizo will grow under the spotlight, between concerts and fans, but he is confident that the humility and goal he has set to be one of the greatest urban artists in Latin America, will make him stay on a fixed course.
Google Translate for Business:Translator ToolkitWebsite Translator <a href=""https://www.last.fm/music/Manuel+Turizo"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
1,bad bunny,1675315,238559075,"Benito Antonio Martínez Ocasio (born March 10, 1994), known professionally as Bad Bunny, is a Puerto Rican singer, rapper, and producer based out of San Juan. Emerging in 2016, he quickly rose to national success on the strength of his early singles and soon signed with Hear This Music, an agency owned by fellow Puerto Ricans DJ Luian and Mambo Kingz. Appearances with Ñengo Flow, Anitta, and Ozuna soon followed and in early 2017, he kicked off an especially prolific run with the singles ""Pa Ti"", ""Loco Pero Millonario"" and ""Dime Si Vas a Volver"" amid numerous collaborative tracks with acts like Poeta Callejero, Farruko, Brytiago, Almighty, and others. <a href=""https://www.last.fm/music/Bad+Bunny"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
2,feid,492028,41961597,"Salomón Villada Hoyos, also known as Ferxxo or Feid, is a prominent Colombian singer and songwriter in urban music. Born on August 19, 1992, in Medellín, Colombia, he developed a passion for music from a young age and participated in music extension courses with his parents. Starting with the clarinet, he later shifted his focus to his voice and became a member of the University of Antioquia choir.

Since 2015, Feid has dedicated himself to singing and songwriting, experiencing significant success and becoming one of the most popular urban music artists today. With multiple hits and hundreds of millions of streams, he has collaborated with renowned artists such as Bad Bunny, Ozuna, Sech, Justin Quiles, J Balvin, Maluma, Karol G, De La Ghetto, Mora, and others. <a href=""https://www.last.fm/music/Feid"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,ozuna,738304,20793921,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
4,anuel aa,490766,20995568,"Emmanuel Gazmey Santiago, known professionally as Anuel AA, is a Puerto Rican rapper and singer, a pioneer of the Latin trap movement. Gazmey's music addresses topics such as street life, violence, sex, and drugs. He is seen as a controversial figure in the Latin music scene for his legal troubles and feuds with fellow Puerto Rican rappers Cosculluela and Ivy Queen and with American rapper 6ix9ine.  His music often contains samples and interpolations of songs that were popular during his youth.

After being released from prison on July 17, 2018, Gazmey released his first full-length album titled Real Hasta la Muerte which contained 12 songs and landed at number one on the Billboard Top Latin Albums chart. He won the 2019 Billboard Latin Music Award for New Artist of the Year. <a href=""https://www.last.fm/music/Anuel+AA"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,sebastian yatra,531346,11586069,"Sebastián Obando Giraldo (born 15 October 1994), known professionally as Sebastián Yatra, is a Colombian singer and songwriter. He began as a Latin pop artist and has recorded many ballads, but has released several successful reggaeton singles. Yatra is noted for his romantic lyrics, melding traditional lyricism with modern reggaeton influences. He rose to prominence in Latin America in 2016 when he released the hit ""Traicionera"". He has released three studio albums and recorded with artists from a diverse range of musical genres throughout his career.

Born in Medellín and raised primarily in Miami, Yatra began singing at a young age and returned to Colombia to begin his musical career. He achieved breakout success with ""Traicionera"" followed by ""Robarte un Beso"" featuring Carlos Vives. ""Traicionera"" served as the lead single for his 2018 debut album, Mantra, which also featured the single ""Sutra"", featuring Puerto Rican rapper Dalmata. He then released the album Fantasia including the lead single ""Un Año"" featuring Mexican band Reik. He received continued success collaborating with Daddy Yankee, Natti Natasha, and the Jonas Brothers on the bilingual single ""Runaway"".

Yatra's music has been classified as Latin pop, reggaeton, and ballads. According to The Fader, Yatras music lands ""somewhere in between the olden times’ sappy romantics and the new wave’s sensuous vibras.""He is influenced by Latin pop and reggaeton artists Ricky Martin, J Balvin, Juanes, and Reik. In an interview with Billboard, he expressed a desire to collaborate with Italian opera singer Andrea Bocelli. Yatra believes that contemporary musicians commit an ""error in associating ballads with boring and slow and old"", and hopes to rejuvenate intererest in ballads for a younger audience.However, his music contains elements of other genres; Desire Thompson of Vibe described his song ""Traicionera"" as a ""trap-EDM blend"".

Despite growing up in Florida and being fluent in English, Yatra sings almost exclusively in Spanish. Yatra explains, “My goal was always to be a singer in Spanish. And I really wanted to understand where I come from and live it. A lot of times I went to Colombia and, even though I spoke Spanish and was always speaking Spanish with my parents, I still felt like an outsider. I wasn’t 100 percent part of it. I wanted to give my roots the importance they deserve. ”His June 2019 song ""Runaway"" was his first foray into bilingual songwriting. In December 2019, he collaborated with South Korean boy group Monsta X for the song ""Magnetic"", which features verses from Yatra in Spanish and a bridge from Monsta X in Spanglish. Sara Delgado of Teen Vogue called the song a ""truly international pop hit"". <a href=""https://www.last.fm/music/Sebastian+Yatra"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,danny ocean,402699,8316558,"Daniel Alejandro Morales Reyes (born 5 May 1992), known by his stage name Danny Ocean, is a Venezuelan singer, songwriter and record producer born in Caracas, Venezuela. He began his professional music career in 2009 with the creation of his YouTube channel. Daniel  is best known for his song ""Me Rehúso"", the first Latin solo artist song to reach 1 billion streams on Spotify, which it did in 2020. <a href=""https://www.last.fm/music/Danny+Ocean"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
7,abraham mateo,133574,1967066,"Abraham Mateo (born in San Fernando (Cadiz), Spain on August 25, 1998) is a Spanish teen actor and pop singer. Abraham was discovered in 2009, when he was ten, by producers of the record label EMI Music Spain, who happened across Abraham's videos in Youtube and his multiple performances in the television show Menuda Noche on the Canal Sur TV of Andalucia, Spain. His self-titled debut album, Abraham Mateo, was released in Spain in December 2009. The album was produced by the spanish composer and producer Jacobo Calderon, who has worked before with internationally recognized latin singers such as Raphael, David Bisbal, and Luis Fonsi.

Beginnings

In 2006, when he was seven, he sang for the first time in public at the regional music competition for children ""Veo Veo"" organized by the Teresa Rabal Foundation in Andalucia, being awarded with a special mention of the jury. Two years later, he won the revelation award at the national music contest held in Murcia being selected to represent Spain at the ""Veo veo"" international competition. 

In 2005, Abraham auditioned for the television show ""Menuda Noche"" on the Canal Sur TV of Andalucia but was not cast for the show. Two years later he attended ""Menuda Noche"" to support his older brother Tony Mateo, who has been chosen to sing in the show, but Abraham was surprised by the show's presenter Juan y Medio and sang in place of his brother. Since then, Abraham has been a frequent guest of ""Menuda Noche"" singing in front of internationally recognized latin singers such as Raphael, David Bisbal, David Bustamante, and Juan Luis Guerra, who have praised Abraham for his strong vocal abilities and stage presence. Raphael said about him: ""That's singing without imitating anyone! You are a great singer!"", David Bustamante: ""You sing like the angels! Impressive! I think he is unique!"", and David Bisbal: ""I have no words! He has a wonderful technique, a very nice voice and a nice tessitura! I predict a huge success!"".

First album

Since his first appearances in ""Menuda Noche"", a friend of Abraham's family posted in Youtube videos of his performances, which soon enjoyed great popularity and caught the attention of producers of EMI Music Spain. Early 2009, when he was ten, he signed a contract with EMI Music Spain and released in December of the same year his debut album, recorded in Madrid, under the title Abraham Mateo.

The album produced by Jacobo Calderon and Jose Luis de la Peña contains twelve songs, seven of them were composed by Calderon himself and four tracks are covers of popular latin songs such as Raphael's ""Cuando tu no estas"" (""When you are not here""), Alejandro Sanz's ""Los dos cogidos de la mano"" (""The two holding hands""), Laura Pausini's ""La soledad"" (""La solitudine/The loneliness"") and Luis Fonsi's ""Imaginame sin ti"" (""Imagine me without you""). The album includes a duet with the french teen singer Caroline Costa, the runner-up in the 2008 edition of the television contest Incroyable Talent, the french version of America's Got Talent. Abraham and Caroline recorded for the album a spanish version of Badfinger's ""Without you"", the song has also been covered with great success by Mariah Carey. To promote the album, Abraham has toured through several cities in Spain and performed in many spanish radio and television shows, including the popular television programs Mas que baile, Tu si que vales, the show of Maria Teresa Campos, and the Christmas Eve Special of the Telecinco channel. He was also invited to perform at the International Carnival Maspalomas in Gran Canaria.

In summer 2010, he recorded his first song in english, a cover version of the Celine Dion hit I surrender.

Acting

Abraham acted in the TV movies ""Días sin Luz"" (2009) and ""Raphael: una historia de superacion personal"" (2010) both produced by Antena 3 Films and broadcasted by the spanish television channel Antena 3. In the biopic ""Raphael: una historia de superacion personal"", he portrayed the worldwide acclamed spanish singer Raphael in the early years of his career and sang some of the vocal tracks.

Official Website: www.abraham-mateo.com <a href=""https://www.last.fm/music/Abraham+Mateo"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
8,arcángel,319161,8366961,"Austin Santos, conocido como Arcangel, nació en Nueva York el 23 de diciembre de 1985. Honrando su ascendencia puertorriqueño-dominicana, se trasladó a Puerto Rico en 1999 para dedicarse al reggaetón.

En 2007, Arcangel comenzó su carrera solo trabajando en un sencillo con DJ Nelson, considerado el padrino del reggaetón. La canción, “Chica Virtual”, apareció en el álbum de recopilación de Nelson “Flow La Discoteka 2” y se hizo popular en las radios urbanas. Muy pronto, Arcangel se había convertido en el artista más popular entre los aficionados del reggaetón en los Estados Unidos y Puerto Rico.

En 2012, firmó con Pina Records y apareció en el álbum de recopilación “La Fórmula”. En 2013, lanzó su segundo álbum de estudio: “Sentimiento, Elegancia y Maldad”, que incluyó colaboraciones con Daddy Yankee, De La Ghetto y Ñengo Flow. El álbum se convirtió en #1 en las ventas previas de iTunes. <a href=""https://www.last.fm/music/+noredirect/Arc%C3%A1ngel"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
9,wisin & yandel,0,0,
